State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet
Uttar Pradesh,Kanpur Dehat,26.43047641,79.98710083,163,UTTAR PRADESH,1796184,963255,832929,1170243,692964,477279,234069,1612968,176327,1300,478,819,155,103,49753,2682
Uttar Pradesh,Jalaun,26.06795459,79.36686911,165,UTTAR PRADESH,1689974,906092,783882,1075196,653430,421766,243035,1509708,171581,1148,463,2875,256,145,104176,2217
Uttar Pradesh,Jhansi,25.45581535,78.89954581,166,UTTAR PRADESH,1998603,1057436,941167,1304513,783705,520808,248072,1823930,147842,7050,4951,1203,7328,311,183340,8517
Uttar Pradesh,Lalitpur,24.58877161,78.60082331,167,UTTAR PRADESH,1221592,641011,580581,641191,397586,243605,131354,1163804,33724,1351,1034,69,20390,41,77082,1079
Himachal Pradesh,Hamirpur,31.67668481,76.49767089,168,UTTAR PRADESH,1104285,593537,510748,653299,408125,245174,181449,1010014,91269,814,196,74,41,273,55929,1196
Uttar Pradesh,Hamirpur,25.73815838,79.8261948,168,UTTAR PRADESH,1104285,593537,510748,653299,408125,245174,181449,1010014,91269,814,196,74,41,273,55929,1196
Uttar Pradesh,Mahoba,25.3452967,79.67863003,169,UTTAR PRADESH,875958,466358,409600,488106,302283,185823,130422,815142,57454,965,389,94,234,157,42936,1316
Uttar Pradesh,Banda,25.3518859,80.52487391,170,UTTAR PRADESH,1799410,965876,833534,1002937,630626,372311,273458,1637549,157612,1367,231,168,916,50,73522,1655
Uttar Pradesh,Chitrakoot,25.15992462,81.07666088,171,UTTAR PRADESH,991730,527721,464009,531072,330339,200733,150695,955372,34559,693,63,101,285,27,41046,827
Uttar Pradesh,Fatehpur,25.8374362,80.85416203,172,UTTAR PRADESH,2632733,1384722,1248011,1512166,911003,601163,425366,2274674,350700,2201,402,172,199,47,75263,3385
